@RELATION Accelerometer

@ATTRIBUTE Timestamp NUMERIC
@ATTRIBUTE accX NUMERIC
@ATTRIBUTE accY NUMERIC
@ATTRIBUTE accZ NUMERIC
@ATTRIBUTE accTotal NUMERIC
@ATTRIBUTE label {lying,running,sitting,standing,walking}

@DATA
170036086,-0.373,9.473,-3.099,9.973999147784204,standing
170036094,-0.373,9.434,-3.079,9.930746497620408,standing
170036102,-0.294,9.512,-3.020,9.984236575722754,standing
170036111,-0.314,9.611,-3.001,10.073525599312289,standing
170036119,-0.314,9.611,-3.001,10.073525599312289,standing
170036128,-0.275,9.669,-3.001,10.127743430794444,standing
170036136,-0.235,9.787,-2.922,10.216588373816379,standing
170036144,-0.216,9.728,-2.883,10.148513635010794,standing
170036153,-0.235,9.748,-2.824,10.1515370757339,standing
170036161,-0.216,9.689,-2.765,10.0781249248062,standing
170036170,-0.216,9.689,-2.765,10.0781249248062,standing
170036178,-0.216,9.591,-2.746,9.978699965426356,standing
170036186,-0.196,9.473,-2.746,9.864920729534527,standing
170036195,-0.196,9.414,-2.805,9.824959898136989,standing
170036203,-0.216,9.454,-2.765,9.852410720224771,standing
170036212,-0.235,9.454,-2.726,9.841972210893505,standing
170036220,-0.235,9.454,-2.726,9.841972210893505,standing
170036228,-0.235,9.493,-2.648,9.858203588889813,standing
170036237,-0.275,9.512,-2.530,9.846556200012266,standing
170036245,-0.235,9.552,-2.412,9.85462698431554,standing
170036254,-0.235,9.591,-2.354,9.878452409158024,standing
170036262,-0.255,9.630,-2.334,9.9120876206781,standing
170036270,-0.255,9.630,-2.334,9.9120876206781,standing
170036279,-0.255,9.689,-2.334,9.969418338097766,standing
170036287,-0.275,9.709,-2.334,9.98938746870898,standing
170036296,-0.353,9.689,-2.354,9.977106093452148,standing
170036304,-0.412,9.669,-2.354,9.9599508532924,standing
170036312,-0.431,9.630,-2.373,9.927426151828078,standing
170036321,-0.471,9.552,-2.177,9.808255400426724,standing
170036329,-0.471,9.552,-2.177,9.808255400426724,standing
170036337,-0.412,9.473,-1.981,9.686683333318996,standing
170036346,-0.451,9.493,-1.844,9.68094964350089,standing
170036354,-0.451,9.454,-1.785,9.631601216827864,standing
170036363,-0.412,9.473,-1.706,9.634205156628129,standing
170036371,-0.412,9.493,-1.648,9.643790592915215,standing
170036379,-0.412,9.493,-1.648,9.643790592915215,standing
170036388,-0.392,9.591,-1.687,9.746123024054231,standing
170036396,-0.392,9.611,-1.667,9.762370306436855,standing
170036405,-0.392,9.630,-1.589,9.768085022152501,standing
170036413,-0.373,9.591,-1.589,9.728891560707211,standing
170036421,-0.333,9.552,-1.628,9.695461670286774,standing
