Chest	Chest	Chest	Chest	Right Hip	Right Hip	Right Hip	Right Hip	Right Wrist	Right Wrist	Right Wrist	Right Wrist	Right Thigh	Right Thigh	Right Thigh	Right Thigh	Right foot	Right foot	Right foot	Right foot	Lower Back	Lower Back	Lower Back	Lower Back	Annotation	Annotation
Timestamp	Accelerometer X	Accelerometer Y	Accelerometer Z	Timestamp	Accelerometer X	Accelerometer Y	Accelerometer Z	Timestamp	Accelerometer X	Accelerometer Y	Accelerometer Z	Timestamp	Accelerometer X	Accelerometer Y	Accelerometer Z	Timestamp	Accelerometer X	Accelerometer Y	Accelerometer Z	Timestamp	Accelerometer X	Accelerometer Y	Accelerometer Z	Pulse	Level
mSecs	m/(sec^2)	m/(sec^2)	m/(sec^2)	mSecs	m/(sec^2)	m/(sec^2)	m/(sec^2)	mSecs	m/(sec^2)	m/(sec^2)	m/(sec^2)	mSecs	m/(sec^2)	m/(sec^2)	m/(sec^2)	mSecs	m/(sec^2)	m/(sec^2)	m/(sec^2)	mSecs	m/(sec^2)	m/(sec^2)	m/(sec^2)	Boolean	Boolean
1219532.227	0.773	9.546	1.310	1219797.852	-1.385	9.378	1.492	1220759.766	3.682	8.481	-3.711	1219492.187	1.675	9.510	2.071	1220682.617	2.630	9.422	1.193	1220097.656	-1.025	8.825	5.174	0.000	0.000
1219551.758	0.618	9.468	1.787	1219817.383	-1.500	10.073	1.891	1220779.297	3.512	8.354	-2.485	1219511.719	1.522	9.467	2.222	1220702.148	2.476	9.233	1.260	1220117.187	-1.140	8.863	5.136	0.000	0.000
1219571.289	0.574	9.583	1.433	1219836.914	-0.692	9.776	1.961	1220798.828	3.221	8.634	-1.422	1219531.250	1.412	8.747	2.717	1220721.680	2.564	9.366	1.575	1220136.719	-0.871	8.527	5.503	0.000	0.000
1219590.820	0.733	9.469	1.306	1219856.445	-0.308	9.630	1.841	1220818.359	2.925	8.265	-2.095	1219550.781	1.528	9.524	2.802	1220741.211	2.715	9.634	1.397	1220156.250	-0.792	8.638	5.166	0.000	0.000
1219610.352	0.571	9.429	1.066	1219875.977	-0.692	9.967	1.630	1220837.891	3.246	9.190	-1.422	1219570.312	1.913	8.861	2.801	1220760.742	2.168	9.272	1.227	1220175.781	-1.065	8.825	5.404	0.000	0.000
1219629.883	0.731	9.507	1.068	1219895.508	-1.192	9.625	2.092	1220857.422	2.395	9.101	-1.565	1219589.844	2.175	8.663	2.097	1220780.273	2.281	8.786	1.312	1220195.312	-1.094	8.529	4.729	0.000	0.000
1219649.414	0.614	9.622	1.395	1219915.039	-0.731	9.410	1.738	1220876.953	2.023	9.240	-1.471	1219609.375	1.606	8.410	2.928	1220799.805	2.249	9.264	1.380	1220214.844	-1.176	8.901	4.869	0.000	0.000
1219668.945	1.136	9.473	1.582	1219934.570	-1.192	9.185	1.865	1220896.484	1.991	8.944	-1.529	1219628.906	1.034	9.354	3.369	1220819.336	2.355	9.017	1.133	1220234.375	-1.603	8.942	5.209	0.000	0.000
1219688.477	1.176	9.589	1.588	1219954.102	-1.577	9.636	1.547	1220916.016	1.951	8.946	-1.797	1219648.437	0.837	9.068	2.967	1220838.867	1.883	8.998	0.790	1220253.906	-1.182	8.827	5.479	0.000	0.000
1219708.008	1.378	9.860	1.759	1219973.633	-1.731	9.664	1.969	1220935.547	2.637	9.558	-2.384	1219667.969	1.340	8.881	3.187	1220858.398	2.025	8.867	0.435	1220273.437	-1.519	8.719	4.734	0.000	0.000
1219727.539	1.099	9.857	1.922	1219993.164	-1.231	9.445	1.846	1220955.078	2.691	8.635	-2.526	1219687.500	1.338	8.773	3.065	1220877.930	2.043	9.175	0.953	1220292.969	-1.296	8.754	5.471	0.000	0.000
1219747.070	1.177	9.666	1.672	1220012.695	-0.962	9.439	2.121	1220974.609	2.946	8.825	-2.557	1219707.031	1.915	8.779	3.065	1220897.461	2.361	9.233	1.261	1220312.500	-1.447	8.237	5.701	0.000	0.000
1219766.602	0.625	9.814	2.484	1220032.227	-1.115	9.877	2.422	1220994.141	3.090	9.159	-2.267	1219726.562	1.108	9.103	3.123	1220916.992	2.200	9.245	1.033	1220332.031	-1.947	8.316	5.582	0.000	0.000
1219786.133	0.784	9.854	2.405	1220051.758	-1.154	9.736	2.102	1221013.672	3.391	8.761	-2.608	1219746.094	1.724	9.146	3.126	1220936.523	2.409	9.905	2.647	1220351.562	-2.378	8.653	6.020	0.000	0.000
1219805.664	0.824	9.739	2.359	1220071.289	-0.923	9.837	2.576	1221033.203	3.249	8.679	-2.150	1219765.625	3.029	9.166	2.896	1220956.055	2.967	9.136	0.980	1220371.094	-2.298	8.542	5.898	0.000	0.000
1219825.195	0.780	9.854	2.005	1220090.820	-0.577	10.388	2.820	1221052.734	3.661	8.829	-1.455	1219785.156	2.255	9.358	2.408	1220975.586	2.576	8.695	0.919	1220390.625	-2.027	8.317	5.888	0.000	0.000
1219844.727	0.981	9.933	2.087	1220110.352	-0.692	10.058	2.675	1221072.266	3.614	8.873	-2.336	1219804.687	1.750	9.107	1.969	1220995.117	1.786	8.079	-0.841	1220410.156	-2.023	8.242	5.575	0.000	0.000
1219864.258	1.063	10.011	2.290	1220129.883	-0.192	10.235	3.046	1221091.797	3.538	8.873	-2.488	1219824.219	0.601	9.414	2.449	1221014.648	4.093	10.985	3.272	1220429.687	-2.177	8.281	5.575	0.000	0.000
1219883.789	1.025	10.164	2.538	1220149.414	-0.462	9.836	2.662	1221111.328	3.611	8.985	-2.366	1219843.750	3.405	9.530	1.995	1221034.180	2.852	9.173	0.983	1220449.219	-2.174	8.207	5.300	0.000	0.000
1219903.320	0.743	9.584	2.272	1220168.945	-0.462	9.803	2.467	1221130.859	3.427	9.089	-2.086	1219863.281	2.795	9.469	2.568	1221053.711	3.082	9.901	1.986	1220468.750	-1.986	8.168	5.801	0.000	0.000
1219922.852	0.824	9.201	2.412	1220188.477	-0.692	10.128	2.873	1221150.391	3.327	8.605	-1.964	1219882.812	1.753	9.432	2.220	1221073.242	3.216	9.368	1.530	1220488.281	-2.058	8.058	5.484	0.000	0.000
1219942.383	0.906	8.932	2.558	1220208.008	-0.923	9.320	2.535	1221169.922	3.549	8.827	-1.530	1219902.344	1.833	9.646	2.540	1221092.773	3.055	9.193	1.329	1220507.812	-2.171	7.911	5.318	0.000	0.000
1219961.914	1.102	9.588	2.228	1220227.539	-0.654	10.051	3.022	1221189.453	3.105	8.527	-2.081	1219921.875	1.328	9.248	2.055	1221112.305	3.065	9.327	1.606	1220527.344	-1.666	7.609	5.192	0.000	0.000
