@relation Accelerometer-weka.filters.unsupervised.attribute.Remove-R1

@attribute accX numeric
@attribute accY numeric
@attribute accZ numeric
@attribute accTotal numeric
@attribute label {lying,running,sitting,standing,walking}

@data
-4.766,7.022,-1.432,8.606617,lying
-5.472,8.218,-3.217,10.383997,lying
-5.472,8.218,-3.217,10.383997,lying
-5.727,9.022,-4.609,11.637779,lying
-5.452,8.14,-3.805,10.510087,lying
-4.786,6.747,-4.354,9.348001,lying
-1.726,5.864,-7.296,9.518256,lying
0.941,5.747,-6.512,8.736111,lying
0.941,5.747,-6.512,8.736111,lying
-1.942,2.864,-3.785,5.128361,lying
-5.256,1.177,-2.491,5.934302,lying
-6.923,1.412,-3.315,7.804543,lying
-9.042,1.589,-3.099,9.689504,lying
-8.414,2.275,-3.256,9.304437,lying
-9.061,3.511,-4.433,10.680839,lying
-9.061,3.511,-4.433,10.680839,lying
-8.708,5.943,-4.531,11.475124,lying
-8.473,6.355,-4.138,11.371051,lying
-7.022,5.884,-4.393,10.160137,lying
-5.296,4.491,-4.158,8.093557,lying
-5.178,2.157,-3.648,6.691206,lying
-5.178,2.157,-3.648,6.691206,lying
-5.747,0.941,-2.942,6.524481,lying
-7.061,0.549,-3.119,7.738687,lying
-8.512,0.275,-3.57,9.234428,lying
-8.826,1.177,-3.687,9.637301,lying
-10.473,4.256,-3.883,11.953031,lying
-10.473,4.256,-3.883,11.953031,lying
-12.239,6.374,-4.884,14.638116,lying
-12.768,5.923,-6.355,15.443114,lying
-12.651,4.629,-6.374,14.903131,lying
-12.788,4.374,-6.806,15.132298,lying
-12.356,4.629,-7.865,15.360879,lying
-12.356,4.629,-7.865,15.360879,lying
-10.964,4.511,-7.551,14.056174,lying
-9.767,3.158,-6.904,12.370629,lying
-8.257,2.275,-6.394,10.688167,lying
-8.1,2.864,-5.884,10.413162,lying
-8.394,4.256,-6.139,11.236552,lying
-8.394,4.256,-6.139,11.236552,lying
-7.551,4.903,-6.433,11.065284,lying
-7.532,4.962,-6.257,10.977364,lying
-6.257,5.041,-6.257,10.183898,lying
-5.492,5.237,-5.962,9.650579,lying
-5.256,5.021,-6.08,9.476412,lying
-5.256,5.021,-6.08,9.476412,lying
-5.413,5.001,-5.747,9.345511,lying
-5.276,5.237,-5.531,9.26576,lying
-5.394,5.139,-5.452,9.231948,lying
-5.747,4.629,-5.825,9.401398,lying
-6.159,4.335,-6.472,9.930372,lying
-6.472,4.06,-6.61,10.102598,lying
-6.472,4.06,-6.61,10.102598,lying
-6.394,3.727,-6.825,10.067492,lying
-6.394,3.256,-6.923,9.970592,lying
-6.021,3.746,-6.315,9.495482,lying
-6.159,3.511,-5.688,9.08921,lying
-7.061,2.471,-5.609,9.350104,lying
-7.061,2.471,-5.609,9.350104,lying
-6.669,2.216,-4.55,8.3719,lying
-6.433,2.569,-2.138,7.249434,lying
-6.041,2.864,-2.216,7.043212,lying
-5.649,3.511,-1.491,6.81626,lying
-5.433,3.942,-0.706,6.749466,lying
-5.433,3.942,-0.706,6.749466,lying
-6.531,3.079,-1.334,7.342599,lying
-8.61,1.471,-1.765,8.911294,lying
-9.669,1.981,-1.334,9.959592,lying
-10.003,2.471,-1.334,10.389678,lying
-10.552,2.314,-0.804,10.832623,lying
-10.552,2.314,-0.804,10.832623,lying
-10.983,2.589,-1.02,11.330031,lying
-11.278,2.099,-3.962,12.136578,lying
-11.219,1.883,-5.982,12.852859,lying
-10.473,1.118,-8.512,13.542075,lying
-8.061,0.039,-11.474,14.022622,lying
-8.061,0.039,-11.474,14.022622,lying
-7.473,0.039,-11.984,14.123155,lying
-7.022,-0.255,-11.003,13.055249,lying
-7.139,0.039,-9.042,11.520617,lying
-7.904,0.471,-7.649,11.00919,lying
-7.845,0.824,-5.747,9.759662,lying
-7.845,0.824,-5.747,9.759662,lying
-7.237,1,-4.354,8.504792,lying
-6.649,0.804,-3.923,7.7618,lying
-5.511,-0.412,-4.08,6.869299,lying
-5.962,-1.079,-7.375,9.544648,lying
-6.963,-1.471,-9.944,12.22826,lying
-6.963,-1.471,-9.316,11.72327,lying
-7.296,-2.079,-9.277,11.984014,lying
-7.865,-1.569,-7.943,11.287659,lying
-9.591,-0.706,-8.041,12.535685,lying
-10.827,0.745,-7.885,13.414626,lying
-11.062,1.746,-7.178,13.301881,lying
-10.258,1.706,-6.178,12.095647,lying
-10.258,1.706,-6.178,12.095647,lying
-9.375,1.393,-5.825,11.124824,lying
-8.473,0.883,-5.629,10.210635,lying
-7.708,0.373,-5.649,9.56366,lying
-7.375,-0.196,-5.845,9.412389,lying
-7.041,-0.961,-6.198,9.429444,lying
-7.041,-0.961,-6.198,9.429444,lying
-6.845,-1.804,-6.433,9.565141,lying
-6.512,-2.412,-6.845,9.75079,lying
-6.688,-1.608,-7.61,10.258027,lying
-7.728,-0.157,-7.885,11.041733,lying
-8.022,0.373,-7.335,10.876297,lying
-8.022,0.373,-7.335,10.876297,lying
-8.336,1.04,-7.375,11.178601,lying
-8.532,1.255,-7.414,11.372662,lying
-8.041,0.863,-7.198,10.826525,lying
-7.414,-0.314,-7.159,10.311027,lying
-7.237,-1.628,-6.727,10.013845,lying
-7.237,-1.628,-6.727,10.013845,lying
-6.982,-2.687,-6.08,9.640264,lying
-7.492,-2.883,-6.669,10.436346,lying
-7.885,-3.315,-7.002,11.053979,lying
-7.473,-2.922,-7.218,10.792745,lying
-6.806,-1.765,-5.57,8.970048,lying
-6.806,-1.765,-5.57,8.970048,lying
-1.648,-11.474,-5.041,12.640422,lying
-0.216,-14.671,-7.649,16.546664,lying
-1.687,-8.277,-3.511,9.147777,lying
-2.177,2.373,-4.884,5.850121,lying
-2.569,5.001,-4.08,6.946666,lying
-2.569,5.001,-6.276,8.426027,lying
-7.826,3.197,-6.178,10.470662,lying
-13.161,-2.55,-6.1,14.728354,lying
-17.848,-2.981,-7.002,19.402718,lying
-19.084,-4.55,-7.492,21.000753,lying
-16.848,-4.962,-8.002,19.300481,lying
-13.612,-4.452,-8.336,16.570931,lying
-13.612,-4.452,-8.336,16.570931,lying
-10.493,-3.432,-7.786,13.509384,lying
-7.1,-1.667,-6.845,10.002145,lying
-4.099,0.275,-7.316,8.390547,lying
-3.707,1.098,-6.727,7.758865,lying
-4.256,0.785,-6.394,7.720945,lying
-4.256,0.785,-6.394,7.720945,lying
-5.786,-0.392,-6.551,8.749118,lying
-7.08,-1.432,-5.06,8.819332,lying
-7.728,-2.118,-4.472,9.17642,lying
-8.473,-2.334,-5.707,10.478985,lying
-8.708,-2.765,-5.374,10.599734,lying
-8.708,-2.765,-5.374,10.599734,lying
-7.041,-3.668,-1.02,8.004393,lying
-7.335,-3.393,-0.451,8.094324,lying
-7.786,-3.589,0.059,8.573576,lying
-8.022,-3.413,-3.275,9.312716,lying
-7.022,-3.119,-9.473,12.19731,lying
-7.022,-3.119,-9.473,12.19731,lying
-6.904,-3.04,-11.533,13.781034,lying
-7.669,-2.903,-8.551,11.847387,lying
-7.335,-2.785,-7.865,11.109306,lying
-7.1,-2.746,-7.237,10.503556,lying
-7.885,-3.491,-7.728,11.579391,lying
-7.885,-3.491,-7.728,11.579391,lying
-7.943,-3.452,-6.119,10.604231,lying
-7.924,-3.923,-4.491,9.917096,lying
-8.081,-4.472,-3.982,10.057717,lying
-7.1,-4.158,-5.982,10.172674,lying
-6.767,-4.609,-6.296,10.328349,lying
-6.767,-4.609,-6.296,10.328349,lying
-7.394,-6.08,-7.198,11.977013,lying
-8.453,-7.767,-7.453,13.686735,lying
-8.904,-9.846,-7.277,15.138681,lying
-10.199,-11.788,-7.473,17.286477,lying
-11.552,-11.984,-7.708,18.343343,lying
-9.689,-9.257,-6.825,15.038264,lying
-9.689,-9.257,-6.825,15.038264,lying
-6.433,-5.629,-5.276,10.045163,lying
-2.432,-0.628,-3.785,4.542602,lying
-3.197,1.51,-2.844,4.537537,lying
-4.138,1.255,-3.334,5.460185,lying
-4.825,-0.647,-4.276,6.479461,lying
-4.825,-0.647,-4.276,6.479461,lying
-6.57,-3.825,-4.864,9.025188,lying
-6.806,-6.57,-5.747,11.068629,lying
-7.08,-6.943,-6.845,12.049302,lying
-8.257,-6.767,-8.355,13.556414,lying
-8.767,-8.767,-9.65,15.71124,lying
-8.767,-8.767,-9.65,15.71124,lying
-6.394,-7.433,-9.532,13.674493,lying
-5.727,-3.746,-9.395,11.623127,lying
-5.433,2.177,-7.885,9.81988,lying
-6.08,6.923,-4.06,10.068661,lying
-9.179,9.865,-2.589,13.721341,lying
-9.179,9.865,-2.589,13.721341,lying
-9.748,6.433,-3.491,12.189917,lying
-9.003,4.393,-5.551,11.452775,lying
-7.983,3.727,-6.767,11.109055,lying
-7.551,1.922,-7.473,10.796176,lying
-6.845,2.04,-8.689,11.24786,lying
-6.845,2.04,-8.689,11.24786,lying
-7.296,1.589,-9.434,12.031496,lying
-7.904,0.157,-7.473,10.878584,lying
-8.767,0.275,-5.119,10.15579,lying
-7.473,-0.314,-5.158,9.085664,lying
-7.237,-1.942,-6.198,9.724235,lying
-7.237,-2.569,-7.453,10.701455,lying
-6.923,-2.785,-7.355,10.477604,lying
-6.786,-2.491,-6.335,9.611821,lying
-6.531,-1.706,-5.806,8.903597,lying
-6.512,-1.294,-5.747,8.78115,lying
-6.61,-0.883,-5.825,8.854514,lying
-6.747,-0.686,-6.1,9.121546,lying
-6.747,-0.686,-6.1,9.121546,lying
-7.061,-0.353,-6.119,9.350106,lying
-6.531,-0.49,-5.806,8.752354,lying
-7.551,-0.373,-5.766,9.508075,lying
-9.257,-2.001,-5.06,10.737767,lying
-9.199,-3.315,-1.706,9.925788,lying
-9.199,-3.315,-1.706,9.925788,lying
-8.473,-3.02,-5.198,10.389001,lying
-8.081,-3.04,-9.728,13.00685,lying
-7.63,-2.844,-9.238,12.314458,lying
-7.237,-2.51,-7.885,10.993066,lying
-7.178,-2.354,-6.825,10.18065,lying
-7.178,-2.354,-6.825,10.18065,lying
-7.532,-2.138,-6.472,10.158191,lying
-7.492,-1.961,-6.217,9.931096,lying
-7.473,-1.902,-6.1,9.83226,lying
-7.453,-1.883,-6.021,9.764494,lying
-7.512,-1.863,-6.002,9.794127,lying
-7.512,-1.863,-6.002,9.794127,lying
-7.433,-1.883,-6.061,9.773991,lying
-7.512,-1.942,-6.1,9.869727,lying
-7.532,-2.079,-6.315,10.046516,lying
-7.551,-2.079,-6.394,10.110543,lying
-7.512,-2.099,-6.531,10.172999,lying
-7.512,-2.099,-6.531,10.172999,lying
-7.551,-2.138,-6.629,10.272891,lying
-7.61,-2.059,-6.884,10.466185,lying
-7.649,-2.02,-7.08,10.616685,lying
-7.806,-2.02,-7.1,10.743558,lying
-8.041,-1.961,-7.1,10.904733,lying
-8.355,-1.961,-6.963,11.051467,lying
-8.238,-1.902,-6.963,10.952882,lying
-8.316,-1.961,-6.865,10.960365,lying
-8.375,-1.922,-6.708,10.901008,lying
-8.375,-1.883,-6.629,10.845734,lying
-8.375,-1.785,-6.453,10.722316,lying
-8.296,-1.667,-6.178,10.477127,lying
-8.296,-1.667,-6.178,10.477127,lying
-8.081,-1.549,-5.845,10.092868,lying
-7.767,-1.314,-5.178,9.426801,lying
-7.708,-1.138,-5.06,9.29042,lying
-7.747,-1.236,-5.747,9.724799,lying
-7.767,-1.334,-6.178,10.013667,lying
-7.767,-1.334,-6.178,10.013667,lying
-7.551,-1.314,-6.139,9.819955,lying
-7.59,-1.314,-6.315,9.960619,lying
-7.61,-1.393,-6.374,10.023992,lying
-7.492,-1.412,-6.1,9.763903,lying
-7.296,-1.491,-6.041,9.588972,lying
-7.296,-1.491,-6.041,9.588972,lying
-7.159,-1.51,-6.276,9.639479,lying
-7.139,-1.628,-6.786,9.983261,lying
-7.1,-1.706,-7.394,10.391904,lying
-7.08,-1.687,-7.414,10.389406,lying
-7.139,-1.746,-7.061,10.19174,lying
-7.139,-1.746,-7.061,10.19174,lying
-7.178,-1.883,-6.825,10.082162,lying
-7.198,-2.157,-6.786,10.124902,lying
-7.198,-2.354,-6.629,10.064599,lying
-7.218,-2.471,-6.708,10.158869,lying
-7.296,-2.726,-6.727,10.291512,lying
-7.296,-2.726,-6.727,10.291512,lying
-7.394,-2.883,-6.492,10.253243,lying
-7.492,-2.864,-6.237,10.160351,lying
-7.649,-2.922,-6.159,10.245905,lying
-7.728,-3.138,-6.237,10.414855,lying
-7.786,-3.491,-6.257,10.581065,lying
-7.786,-3.491,-6.257,10.581065,lying
-7.669,-3.687,-6.198,10.527238,lying
-7.571,-4.001,-6.041,10.479586,lying
-7.492,-4.256,-6.159,10.591359,lying
-7.453,-4.491,-6.257,10.717572,lying
-7.257,-4.59,-6.002,10.476457,lying
-7.159,-4.531,-5.806,10.270875,lying
-7.159,-4.531,-5.806,10.270875,lying
-7.139,-4.688,-5.747,10.294206,lying
-7.002,-4.825,-6.002,10.408296,lying
-6.786,-4.943,-6.237,10.458643,lying
-6.531,-5.021,-6.198,10.3092,lying
-6.531,-5.021,-6.159,10.2858,lying
-6.531,-5.021,-6.159,10.2858,lying
-6.57,-5.06,-6.217,10.364342,lying
-6.374,-5.198,-6.374,10.405525,lying
-6.1,-5.335,-6.394,10.32257,lying
-5.688,-5.433,-5.825,9.787822,lying
-5.609,-5.531,-5.511,9.613738,lying
-5.609,-5.531,-5.511,9.613738,lying
-5.629,-5.707,-5.472,9.70558,lying
-5.668,-5.962,-5.707,10.012069,lying
-5.57,-6.08,-5.904,10.141426,lying
-5.374,-6.119,-5.786,9.989987,lying
-5.237,-6.178,-5.806,9.965114,lying
-5.237,-6.178,-5.806,9.965114,lying
-5.119,-6.296,-5.825,9.988714,lying
-5.139,-6.394,-5.57,9.915516,lying
-5.158,-6.394,-5.452,9.85964,lying
-5.08,-6.551,-5.472,9.933015,lying
-4.923,-6.708,-5.335,9.884099,lying
-4.923,-6.708,-5.335,9.884099,lying
-4.648,-6.767,-5.001,9.612814,lying
-4.629,-6.845,-4.844,9.578413,lying
